"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2025-11-28"
"Geography: Canada"
""
""

"Prices","Chained (2017) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025"
"Of which: business investment in inventories","793","1,173","-1,998","2,063","2,836","1,154","4,276","2,925","3,091","2,394","3,152","3,761","4,513","2,468","2,501","89","8,009","6,088","3,123","3,961","5,195","8,173","4,043","3,904","892","148","1,990","-245","188","2,456","3,446","4,249","4,859","5,221","5,963","6,743","2,409","2,798","3,623","-3,873","-2,762","42","3,281","3,996","52","2,424","4,091","3,144","3,391","2,646","7,334","7,866","5,641","11,762","10,426","14,348","9,071","2,356","900","1,971","8,454","6,132","7,702","3,065","5,900","5,795","2,124","2,588","-1,070","-1,181","1,530","4,744","5,848","15,811","6,885","11,952","3,565","9,547","-9,524","-4,732","3,904","10,219","2,623","-8,191","-10,987","-19,455","-23,023","-22,142","-9,673","-12,423","-3,312","12","6,471","12,061","6,821","4,089","8,339","6,035","10,684","8,012","11,573","9,379","2,127","-1,507","1,562","-724","1,860","13,010","13,549","6,559","6,974","4,927","1,583","12,583","14,935","1,685","-238","1,080","-8,369","-7,175","-3,631","-16,783","-10,578","-11,376","-12,011","-8,525","-9,609","-14,849","-6,973","-4,226","2,447","1,131","3,049","2,716","1,501","3,093","9,941","17,060","13,098","6,803","2,254","-7,006","2,197","9,219","5,040","10,596","13,571","14,525","17,366","8,371","-3,427","5,517","1,826","5,729","3,966","17,023","17,510","16,392","16,986","11,445","-2,707","-1,131","-7,638","-17,513","-19,499","23","-519","4,403","14,422","14,354","-3,165","1,809","-3,411","-6,212","15,213","24,337","21,777","11,872","14,576","10,879","18,463","19,244","13,738","44","3,836","528","18,279","23,367","10,985","8,078","16,866","8,913","5,339","-8,299","-4,986","-5,443","4,312","-5,591","4,568","-6,289","10,822","19,735","11,019","13,332","6,035","7,098","11,177","6,489","16,319","13,667","20,802","25,514","23,710","9,336","5,905","8,690","14,426","9,580","-9,199","-6,402","-4,517","5,617","7,226","-3,547","6,633","19,402","29,425","19,264","27,618","23,262","17,168","18,458","29,240","19,647","9,358","12,089","17,763","-26,952","-27,566","-4,131","254","9,431","1,714","28,575","25,295","50,958","55,504","29,727","12,762","11,487","11,684","7,426","9,668","14,912","12,437","-11,431","5,788","27,253","23,342"
"Non-farm","2,488","2,486","-34","3,477","2,063","943","2,907","1,445","1,707","345","1,278","3,987","4,136","3,744","3,713","248","6,596","4,321","3,885","5,081","4,263","6,423","3,260","3,038","1,953","919","1,235","-1,173","399","2,025","2,236","2,732","3,598","2,972","3,581","4,698","2,347","2,186","5,077","-3,323","-3,912","108","3,640","4,181","894","3,684","5,995","3,511","4,464","2,818","6,778","7,349","8,501","9,926","12,354","15,917","5,461","1,167","1,937","2,492","7,209","5,011","6,017","2,389","4,849","6,209","2,187","3,927","-2,184","-3,442","1,365","4,726","6,660","15,070","8,557","11,419","4,758","10,920","-8,477","-4,411","1,840","9,043","2,005","-8,452","-12,289","-19,429","-22,927","-21,964","-7,005","-11,383","-2,125","288","7,304","13,325","10,742","5,536","7,900","4,660","8,803","7,651","9,970","7,774","-68","-1,632","504","197","2,733","13,762","15,059","9,597","9,672","5,706","699","9,915","12,719","1,080","-932","92","-11,775","-9,413","-5,444","-17,477","-10,864","-11,465","-10,343","-8,106","-7,419","-14,534","-8,448","-6,146","880","-911","-187","991","2,248","2,994","8,667","14,960","11,606","7,010","2,675","-10,704","-1,164","8,557","3,193","11,293","15,953","17,274","16,944","6,238","-3,755","5,751","673","3,571","3,452","16,101","16,643","15,595","16,613","10,299","-2,227","498","-5,638","-15,038","-18,273","1,680","1,848","6,340","11,917","11,079","-6,877","-1,095","-5,236","-7,745","13,048","21,397","19,498","9,964","12,715","9,294","18,512","19,974","14,225","1,112","4,835","1,646","19,299","23,697","9,691","5,912","12,592","6,218","6,680","-5,865","-6,505","-6,828","5,310","-3,486","5,635","-5,120","10,106","19,109","10,408","14,542","7,499","6,159","9,939","3,802","11,673","7,838","13,287","20,284","21,332","10,393","6,803","8,396","13,791","9,100","-10,502","-7,395","-5,142","3,491","6,664","-2,773","5,896","17,405","29,670","16,001","24,067","23,723","16,660","19,595","29,460","21,179","7,408","7,216","14,762","-27,650","-22,504","-1,438","7,932","17,771","10,753","31,865","21,103","41,702","48,785","28,904","17,325","11,710","12,366","9,650","9,183","14,536","12,970","-9,560","2,099","23,331","17,321"
"Farm","-2,384","-1,790","-2,461","-1,897","847","218","1,511","1,717","1,599","2,454","2,206","-428","290","-1,682","-1,630","-215","1,449","1,974","-1,107","-1,603","951","1,837","802","906","-1,283","-919","821","1,067","-241","436","1,295","1,634","1,331","2,448","2,619","2,230","-8","639","-1,911","-526","1,399","-75","-513","-330","-984","-1,495","-2,123","-397","-1,044","-145","577","586","-2,155","1,766","-1,332","-1,080","3,293","1,074","-927","-466","1,226","1,089","1,641","667","1,043","-386","-53","-1,255","980","1,853","169","145","-389","1,109","-968","809","-771","-728","-1,090","-384","1,773","1,207","572","76","972","-318","-399","-440","-2,559","-1,081","-1,146","-255","-686","-1,012","-3,527","-1,320","473","1,369","1,896","353","1,632","1,655","2,390","158","1,163","-1,011","-986","-1,075","-2,076","-3,603","-3,007","-872","936","2,769","2,259","644","767","1,080","3,934","2,673","2,144","1,106","570","412","-1,723","-288","-2,386","-135","1,700","2,151","1,687","2,186","3,458","1,858","-839","84","1,302","2,129","1,499","-304","-482","3,993","3,552","623","2,020","-953","-2,840","-3,278","201","2,304","458","-406","1,321","2,418","519","744","700","660","196","1,132","-495","-1,739","-2,067","-2,516","-1,199","-1,786","-2,545","-2,049","2,569","3,589","5,227","4,057","2,777","2,481","2,287","2,910","2,086","2,104","1,902","1,684","-998","-1,923","-1,239","-1,424","-1,447","-1,457","-1,844","-952","1,295","2,248","4,430","2,888","-1,652","-2,711","2,001","1,910","-1,422","-2,485","-1,382","-1,220","684","574","604","-1,229","-1,470","940","1,246","2,602","4,555","5,705","7,464","5,251","2,380","-1,012","-787","393","822","601","911","729","481","2,008","575","-768","782","1,993","-266","3,243","3,546","-368","548","-1,069","-165","-1,500","1,947","4,880","3,027","798","-5,072","-2,683","-7,309","-7,473","-7,799","-2,122","3,842","8,346","6,555","1,331","-3,040","169","-165","-1,458","611","633","-159","-1,750","3,042","3,747","5,502"
"Exports of goods and services","46,662","46,147","47,593","48,603","49,066","49,234","48,435","51,033","51,470","52,627","52,990","58,081","59,034","62,863","61,906","60,607","61,111","61,979","64,446","67,960","69,039","70,275","74,547","75,183","76,494","81,365","80,992","81,223","85,468","88,519","90,818","94,601","95,679","94,685","95,943","101,809","105,575","105,532","106,547","106,063","108,041","109,655","115,099","111,549","112,922","122,033","118,451","129,265","134,531","135,630","128,801","132,352","128,033","126,650","128,733","123,924","115,565","116,955","116,570","116,207","119,853","126,696","129,643","125,529","130,736","133,319","134,134","135,970","141,636","146,118","148,443","151,394","154,902","148,685","153,882","152,546","156,948","150,399","151,273","158,001","155,166","159,437","155,706","156,816","153,505","156,397","161,130","147,639","151,714","162,062","164,306","176,228","184,888","190,881","201,733","198,852","200,366","202,128","203,129","205,979","207,259","209,171","216,231","215,671","217,724","214,706","218,082","224,983","237,087","241,019","235,441","241,479","245,738","236,272","237,605","243,936","247,653","256,667","255,179","248,406","243,338","254,099","263,847","263,412","265,729","273,246","277,420","285,010","295,333","303,793","306,126","315,043","317,103","339,637","353,026","367,014","377,157","369,008","369,390","383,332","384,408","399,326","407,651","396,761","419,228","424,556","436,775","444,657","459,134","464,300","473,720","492,298","510,280","511,000","528,775","543,312","561,401","569,730","574,443","575,471","565,825","558,503","546,657","548,610","557,915","557,025","569,640","561,661","552,664","541,594","548,221","565,761","565,206","591,796","589,849","584,139","589,934","587,785","596,248","610,182","602,039","599,768","599,465","604,017","610,097","619,418","607,994","593,844","585,213","590,569","585,825","559,024","510,893","490,276","503,446","515,488","522,667","539,803","539,704","552,788","553,765","545,629","575,786","583,161","582,134","582,627","578,728","577,277","586,400","597,154","592,954","601,196","599,213","635,431","644,921","648,388","641,770","650,429","663,503","658,172","673,120","645,544","664,193","670,885","675,574","684,781","660,523","672,427","683,701","704,789","701,558","699,519","699,150","727,235","720,979","705,988","693,669","580,283","657,665","665,479","683,414","660,311","659,260","680,108","678,977","703,564","711,468","711,157","736,451","745,559","744,365","754,041","749,930","748,009","746,819","763,541","768,831","715,258","716,551"
"Exports of goods","37,054","36,628","37,724","38,491","38,775","38,491","37,937","40,282","40,566","41,525","41,784","46,205","47,114","50,579","49,600","48,118","48,595","49,239","51,250","54,787","55,213","56,552","60,256","60,876","61,809","63,478","61,164","65,534","70,598","73,207","75,378","79,560","79,514","78,149","79,276","84,889","87,589","88,040","89,284","88,066","90,694","91,749","96,799","93,419","96,316","103,862","100,254","109,947","114,656","115,570","108,846","112,404","106,538","105,893","107,719","103,081","95,662","97,281","96,890","96,479","98,980","106,196","108,642","105,338","110,108","111,915","112,788","114,427","119,278","122,785","124,697","126,768","129,625","123,013","127,788","126,352","129,920","123,957","124,713","131,305","127,737","131,752","128,295","129,655","127,208","130,110","134,866","122,807","127,210","135,129","137,007","148,285","155,678","161,738","171,912","169,190","170,032","171,367","171,907","174,223","175,610","175,974","181,047","182,710","184,402","181,178","183,677","190,294","198,913","205,102","199,348","204,440","207,380","198,929","200,036","205,911","209,763","216,807","216,106","209,734","205,090","215,778","224,693","222,626","226,192","231,702","235,738","241,403","251,308","259,198","260,263","268,502","267,773","287,257","304,086","314,990","323,605","315,796","314,859","326,780","326,874","340,498","347,304","336,681","358,785","361,888","372,442","379,256","389,340","392,192","400,994","418,100","434,763","436,035","451,739","463,820","479,734","486,970","490,012","490,595","481,480","474,192","464,032","465,785","472,171","470,718","482,264","472,450","467,517","459,203","461,462","476,133","476,188","499,791","496,904","490,061","496,718","493,226","501,008","513,067","506,901","503,575","502,729","506,823","514,643","522,601","512,455","498,048","490,935","495,486","489,872","462,624","418,858","398,090","412,327","422,686","432,167","449,486","448,202","460,485","462,199","451,381","479,818","485,877","483,995","483,513","480,803","478,975","488,480","497,664","490,889","499,774","495,355","528,016","537,606","538,780","531,272","539,828","552,931","546,957","557,818","529,669","546,307","550,761","554,320","562,237","537,128","548,419","552,388","572,242","567,998","564,074","555,807","579,147","570,411","558,179","555,947","458,322","534,816","539,396","549,350","524,714","519,117","533,961","533,660","552,534","554,268","550,786","567,788","572,408","568,708","573,183","569,680","569,375","568,548","582,415","591,219","539,451","540,408"
"Exports of services","10,325","10,242","10,648","10,932","11,179","11,958","11,635","11,718","11,921","12,124","12,244","12,726","12,681","12,808","12,980","13,448","13,423","13,689","14,158","13,733","14,645","14,372","14,828","14,790","15,233","19,528","22,416","16,386","14,878","15,284","15,297","14,505","15,974","16,557","16,659","16,659","17,850","17,209","16,861","17,830","16,892","17,520","17,773","17,710","15,790","17,335","17,520","18,450","18,906","19,090","19,325","19,090","21,681","20,668","20,871","21,087","20,409","19,909","19,959","20,066","21,498","20,352","20,859","19,985","20,219","21,169","21,018","21,158","21,911","23,026","23,450","24,559","25,262","26,630","26,732","27,080","28,012","27,853","27,955","27,277","28,968","28,880","28,859","28,298","27,209","26,890","26,383","25,381","24,516","27,350","27,717","27,721","28,925","28,335","28,470","28,463","29,342","29,836","30,432","30,997","30,763","32,767","35,049","32,086","32,456","32,892","33,876","33,872","37,841","34,717","35,224","36,153","37,654","36,803","37,029","37,331","37,011","39,082","38,178","37,943","37,600","37,415","38,137","39,958","38,509","40,608","40,660","42,683","42,874","43,300","44,714","45,244","48,486","51,384","46,750","50,001","51,496","51,409","53,043","55,000","56,177","57,204","58,755","58,829","58,490","60,969","62,561","63,579","68,310","70,859","71,311","72,491","73,522","72,869","74,784","77,232","79,257","80,294","82,129","82,629","82,340","82,575","80,944","81,124","84,223","84,889","85,799","88,117","83,631","80,757","85,501","88,340","87,681","90,456","91,582","92,980","91,925","93,457","94,036","95,831","93,778","94,991","95,598","96,017","93,942","95,272","94,070","94,553","93,040","93,827","95,037","96,352","92,354","92,647","91,526","93,210","90,797","90,552","91,751","92,533","91,767","94,691","96,201","97,526","98,454","99,468","98,266","98,654","98,235","99,808","102,432","101,760","104,333","107,703","107,511","109,872","110,802","110,908","110,913","111,521","115,552","115,850","117,912","120,137","121,270","122,557","123,372","124,001","131,323","132,515","133,584","135,488","143,393","148,119","150,653","147,896","137,884","121,679","123,349","126,568","134,666","136,595","141,669","147,956","147,013","152,901","160,139","163,929","172,737","177,523","180,288","185,858","185,255","183,532","183,154","186,027","182,130","180,724","181,069"
"Less: imports of goods and services","40,502","40,380","40,748","43,695","43,730","42,567","42,134","40,730","40,931","42,067","43,808","45,567","47,335","49,050","48,309","49,511","52,256","53,563","55,265","59,164","60,037","61,037","63,151","65,454","65,567","66,304","66,234","65,677","71,379","69,010","71,717","78,840","81,927","82,251","81,435","84,295","81,724","82,531","82,694","78,146","79,426","85,532","90,076","92,444","92,523","98,194","100,785","105,535","110,995","112,105","113,210","120,525","123,832","124,955","126,955","126,039","123,140","120,263","119,983","121,978","126,821","131,548","128,553","128,509","128,653","130,855","128,259","124,899","124,553","132,764","132,943","139,601","140,935","139,588","142,496","143,689","141,513","136,109","131,451","139,916","138,675","147,403","140,737","135,426","124,958","118,266","117,851","112,011","118,311","123,775","134,025","145,165","150,727","152,619","157,697","151,200","157,625","165,500","169,588","170,550","174,205","172,993","180,307","180,154","178,356","180,958","185,794","200,785","208,448","208,480","213,611","215,935","221,541","223,038","221,537","229,211","230,451","231,011","226,643","223,608","224,153","228,475","239,050","243,633","243,333","245,926","250,009","244,810","255,921","263,966","265,491","272,434","272,298","284,839","287,465","301,101","301,160","303,572","302,222","305,453","312,064","311,577","323,611","330,574","350,712","358,495","373,575","379,040","383,823","385,903","377,232","392,484","400,011","407,515","417,350","438,897","448,251","450,832","455,248","451,265","439,234","436,147","426,137","415,972","418,516","438,630","446,853","445,815","449,683","450,547","451,247","472,563","476,771","489,625","503,689","509,373","526,412","522,541","531,724","544,076","549,019","563,522","562,673","562,491","574,708","583,850","598,021","610,546","611,340","615,759","599,243","562,385","508,011","500,023","531,775","552,424","576,792","593,040","604,207","606,590","619,997","625,892","630,834","637,038","648,493","648,668","655,658","653,388","661,085","668,071","665,027","666,266","662,306","684,667","687,471","692,956","689,821","691,493","683,269","683,540","685,285","687,237","694,962","682,072","704,661","717,598","720,531","738,226","747,515","760,345","741,437","732,492","752,000","748,263","743,779","734,522","735,369","566,685","688,244","707,770","727,187","724,786","717,468","754,130","756,106","803,860","803,144","781,112","779,070","799,097","799,568","805,016","800,407","804,487","799,728","800,585","806,304","805,427","787,456"
"Imports of goods","28,885","28,828","28,807","31,028","31,686","30,422","30,499","29,352","29,568","30,345","31,764","33,244","34,452","36,026","35,188","35,928","38,673","39,507","40,987","44,431","44,996","45,695","47,212","49,216","49,253","49,896","49,896","49,058","54,254","52,307","54,290","60,402","62,288","61,235","61,256","64,175","60,865","61,256","61,411","57,735","60,089","64,562","67,701","69,409","71,130","75,606","77,395","81,099","85,913","87,088","87,463","93,187","94,846","96,241","98,197","96,879","92,846","90,735","90,348","91,417","94,886","98,220","95,870","95,545","96,216","98,456","95,674","93,365","93,283","99,891","100,424","106,417","108,657","107,315","109,999","110,609","108,210","103,786","98,923","106,718","104,400","112,419","107,471","103,070","92,602","88,450","88,460","82,987","89,091","92,727","101,269","111,245","115,973","118,140","123,445","118,035","122,154","129,734","133,349","134,277","137,190","135,393","141,882","141,334","139,859","141,296","145,307","158,659","164,373","163,107","167,025","168,249","171,892","173,195","171,493","176,889","176,874","177,010","172,123","169,695","171,129","173,227","182,666","184,287","185,679","187,581","192,837","189,487","198,225","204,747","205,110","212,577","211,686","223,559","230,453","242,583","243,129","243,978","241,755","244,178","250,654","249,413","259,937","265,252","285,268","293,296","306,223","312,041","315,968","317,258","311,505","326,171","332,286","337,783","346,307","364,260","372,932","375,221","379,345","375,625","363,939","362,428","353,715","344,323","347,244","362,669","369,710","368,965","372,398","372,349","368,221","384,400","389,140","402,479","415,804","418,497","433,586","430,334","436,761","447,871","451,212","465,145","462,786","464,173","475,615","480,059","492,637","496,171","496,853","504,049","489,434","460,220","405,769","396,752","426,016","441,934","458,959","473,742","486,818","484,634","497,241","500,003","506,356","512,814","518,455","519,627","523,893","521,651","529,218","535,729","533,586","535,484","530,618","548,772","551,849","557,027","553,142","551,270","545,207","544,990","546,567","546,618","554,759","541,090","561,787","576,035","572,709","589,569","593,752","605,850","587,416","580,238","594,913","592,579","587,786","574,064","572,527","453,120","572,033","587,364","596,948","591,875","579,571","609,582","611,610","646,420","642,808","621,950","615,883","629,196","625,036","622,626","619,789","628,735","621,585","625,975","635,644","628,978","611,657"
"Imports of services","13,810","13,698","14,367","15,150","13,955","14,387","13,498","13,304","13,235","13,685","13,923","14,111","14,805","14,724","15,055","15,687","15,167","15,787","15,894","16,026","16,433","16,783","17,490","17,629","17,741","17,791","17,678","18,235","18,235","17,873","18,692","19,374","20,920","23,122","21,878","21,414","22,916","23,486","23,486","22,647","20,846","22,673","24,325","25,076","22,554","23,756","24,701","25,777","26,177","25,965","26,960","28,587","30,827","30,194","29,944","30,839","33,504","32,609","32,853","34,186","35,833","37,535","36,884","37,397","36,433","35,995","36,764","35,444","35,031","36,545","35,914","36,026","34,218","34,424","34,343","35,200","36,014","35,195","36,496","36,121","38,417","38,066","36,087","35,377","37,328","33,829","33,123","33,440","32,781","35,131","36,550","36,923","37,546","36,820","35,739","34,805","37,755","37,269","37,535","37,475","38,223","39,246","39,743","40,355","40,048","41,535","42,293","43,262","45,428","47,408","48,724","50,161","52,580","52,717","53,182","55,852","57,628","58,209","59,400","58,789","57,425","60,276","61,017","64,877","62,516","63,288","61,328","59,126","61,619","63,158","64,637","63,488","64,509","64,636","58,735","59,906","59,249","61,188","62,423","63,301","63,128","64,122","65,462","67,223","66,481","65,852","67,894","67,242","68,104","68,976","65,801","66,040","67,469","69,577","70,832","74,405","74,953","75,223","75,452","75,245","75,112","73,422","72,171","71,480","71,043","75,815","76,975","76,675","77,093","78,051","83,117","88,310","87,737","87,156","87,813","90,907","92,812","92,195","95,005","96,198","97,833","98,325","99,898","98,285","99,034","103,779","105,366","114,374","114,485","111,612","109,760","102,074","102,136","103,107","105,676","110,393","117,714","119,170","117,258","121,840","122,595","125,795","124,297","123,976","130,000","128,946","131,725","131,713","131,805","132,263","131,359","130,696","131,623","135,821","135,522","135,812","136,590","140,216","138,039","138,545","138,705","140,626","140,198","141,015","142,880","141,556","147,818","148,662","153,754","154,494","154,015","152,249","157,073","155,681","155,962","160,264","162,577","113,954","117,909","122,104","131,641","134,158","138,869","145,581","145,540","158,556","161,475","160,277","164,317","171,062","175,677","183,542","181,766","177,012","179,312","175,898","172,126","177,693","176,883"
"Statistical discrepancy","-3,585","-1,834","1,364","821","1,738","2,593","317","-132","-604","1,079","828","214","-1,952","1,159","234","324","-1,348","-301","89","902","496","-2,621","-3,467","1,296","1,022","-564","-436","-503","316","79","-1,738","1,501","3,181","3,886","1,863","-822","315","-1,328","-4,512","-4,812","-3,678","-2,381","-3,744","-3,029","185","-1,245","737","2,923","3,113","3,453","1,997","975","3,439","3,565","4,635","4,480","3,104","1,618","2,073","1,392","5,462","3,174","-144","1,760","-1,014","-1,673","-4,251","-4,127","-3,320","-122","-1,849","2,464","-3,154","-3,249","2,881","1,311","2,278","-17","-3,300","-2,699","-3,567","-2,221","1,061","821","-2,280","-409","-2,453","-4,585","-4,505","-2,923","-1,191","-677","-954","-279","-2,291","-1,601","1,607","1,003","-2,143","1,178","-1,896","-2,621","489","-2,565","-369","2,371","3,122","2,672","2,188","1,836","1,326","2,080","4,960","1,016","-1,197","1,647","785","1,441","677","895","-443","-770","-2,110","-2,198","-3,050","-1,469","-1,711","-2,240","759","509","-2,284","-1,127","1,922","-1,086","347","1,151","-1,143","790","-218","573","397","168","-1,454","-1,621","809","1,829","1,104","3,013","1,339","1,705","-1,518","1,722","2,409","1,404","1,354","3,060","2,214","2,336","1,805","-646","814","-717","-1,313","598","2,000","726","1,318","-96","2,630","1,707","57","223","1,099","-36","-81","296","-384","1,225","1,764","-304","-993","921","-925","-43","-1,143","-808","-1,398","-1,201","-81","608","-1,275","-705","-240","-1,526","-1,692","-440","-944","-1,184","-2,377","-1,586","-1,251","-980","-1,331","-874","-1,602","-1,267","-429","-1,085","-1,473","553","1,679","-1,220","-1,598","-225","249","-723","-224","-843","-1,304","-1,200","1,211","1,573","1,302","1,330","-1,948","-169","-1,033","-99","458","-431","156","131","1,768","1,420","-1,259","-1,393","506","-820","340","788","754","1,079","124","-562","363","-290","-546","306","426","-259","-161","-617","-841","-273","50","-898","146","-251","707"
